side,density,time
1000,10,108496.0
1000,20,108867.0
1000,30,89517.0
1000,40,90408.0
1000,50,89557.0
1000,60,90769.0
1000,70,91130.0
1000,80,90769.0
1000,90,89047.0
1000,100,89457.0
2000,10,646298.0
2000,20,635613.0
2000,30,622883.0
2000,40,614460.0
2000,50,618546.0
2000,60,622993.0
2000,70,625396.0
2000,80,629463.0
2000,90,626138.0
2000,100,637295.0
5000,10,7334800.0
5000,20,7349040.0
5000,30,7340500.0
5000,40,7358890.0
5000,50,7341190.0
5000,60,7361530.0
5000,70,7354310.0
5000,80,7365230.0
5000,90,7360520.0
5000,100,7367890.0
10000,10,30409800.0
10000,20,30419700.0
10000,30,30412300.0
10000,40,30412300.0
10000,50,30310500.0
10000,60,29940800.0
10000,70,30335300.0
10000,80,30308000.0
10000,90,29935000.0
10000,100,30287500.0
20000,10,121280000.0
20000,20,121236000.0
20000,30,121146000.0
20000,40,121165000.0
20000,50,121488000.0
20000,60,121530000.0
20000,70,121517000.0
20000,80,121365000.0
20000,90,121220000.0
20000,100,121107000.0
30000,10,267372000.0
30000,20,268772000.0
30000,30,267298000.0
30000,40,268913000.0
30000,50,269553000.0
30000,60,269064000.0
30000,70,267883000.0
30000,80,268666000.0
30000,90,267328000.0
30000,100,267677000.0
40000,10,450647000.0
40000,20,443931000.0
40000,30,451260000.0
40000,40,452345000.0
40000,50,450193000.0
40000,60,452289000.0
40000,70,437252000.0
40000,80,450507000.0
40000,90,458054000.0
40000,100,456952000.0
