side,density,time
1000,10,32480.0
1000,20,62886.0
1000,30,98530.0
1000,40,136238.0
1000,50,172754.0
1000,60,209380.0
1000,70,247008.0
1000,80,283874.0
1000,90,320530.0
1000,100,352539.0
2000,10,137139.0
2000,20,279097.0
2000,30,430428.0
2000,40,646679.0
2000,50,910762.0
2000,60,1246146.0
2000,70,1533796.0
2000,80,1679289.0
2000,90,1811811.0
2000,100,1927357.0
5000,10,2003514.0
5000,20,4152660.0
5000,30,5792259.0
5000,40,7160531.0
5000,50,8312263.0
5000,60,9517967.0
5000,70,9782620.0
5000,80,10430062.0
5000,90,11034186.0
5000,100,11671500.0
10000,10,9874602.0
10000,20,17501587.0
10000,30,24318242.0
10000,40,29389848.0
10000,50,33507394.0
10000,60,36914737.0
10000,70,40472147.0
10000,80,42517965.0
10000,90,43825134.0
10000,100,47094905.0
20000,10,40197927.0
20000,20,71168152.0
20000,30,97318405.0
20000,40,119247853.0
20000,50,134733907.0
20000,60,147867702.0
20000,70,169584335.0
20000,80,186102136.0
20000,90,195034868.0
20000,100,198057189.0
30000,10,91455938.0
30000,20,160309169.0
30000,30,219068662.0
30000,40,271259662.0
30000,50,312562668.0
30000,60,331369246.0
30000,70,369464407.0
30000,80,391539821.0
30000,90,405396386.0
30000,100,447945435.0
40000,10,161384003.0
40000,20,285834475.0
40000,30,395643089.0
40000,40,470565415.0
40000,50,536805371.0
40000,60,600389963.0
40000,70,630036378.0
40000,80,661860322.0
