side,density,time
1000,10,36475.0
1000,20,70457.0
1000,30,103088.0
1000,40,135747.0
1000,50,168287.0
1000,60,200687.0
1000,70,233207.0
1000,80,266848.0
1000,90,299508.0
1000,100,329124.0
2000,10,141066.0
2000,20,274509.0
2000,30,412091.0
2000,40,545344.0
2000,50,681703.0
2000,60,866495.0
2000,70,1104160.0
2000,80,1365230.0
2000,90,1598360.0
2000,100,1776190.0
5000,10,1180360.0
5000,20,3278760.0
5000,30,4914220.0
5000,40,6076440.0
5000,50,7156380.0
5000,60,8128600.0
5000,70,9224330.0
5000,80,10202900.0
5000,90,10795700.0
5000,100,12326100.0
10000,10,7274030.0
10000,20,13852300.0
10000,30,19739500.0
10000,40,24200800.0
10000,50,28308600.0
10000,60,32456500.0
10000,70,36140500.0
10000,80,40864800.0
10000,90,43025800.0
10000,100,49186100.0
20000,10,29821700.0
20000,20,56206200.0
20000,30,78624200.0
20000,40,95698400.0
20000,50,113371000.0
20000,60,132288000.0
20000,70,147062000.0
20000,80,160792000.0
20000,90,172556000.0
20000,100,197224000.0
30000,10,67468500.0
30000,20,127458000.0
30000,30,176650000.0
30000,40,215119000.0
30000,50,247053000.0
30000,60,289321000.0
30000,70,331050000.0
30000,80,368083000.0
30000,90,392255000.0
30000,100,447797000.0
40000,10,119206000.0
40000,20,225400000.0
40000,30,313050000.0
40000,40,382133000.0
40000,50,440545000.0
40000,60,513172000.0
40000,70,585832000.0
40000,80,639958000.0
