side,density,time
1000,10,31137.0
1000,20,62937.0
1000,30,99553.0
1000,40,136669.0
1000,50,172604.0
1000,60,211333.0
1000,70,246708.0
1000,80,283904.0
1000,90,319980.0
1000,100,352369.0
2000,10,137010.0
2000,20,279778.0
2000,30,432531.0
2000,40,643064.0
2000,50,898475.0
2000,60,1218314.0
2000,70,1497771.0
2000,80,1695123.0
2000,90,1831822.0
2000,100,1926267.0
5000,10,1942512.0
5000,20,4155257.0
5000,30,5900075.0
5000,40,7230321.0
5000,50,8348271.0
5000,60,9595719.0
5000,70,9977283.0
5000,80,10563159.0
5000,90,11212412.0
5000,100,11716953.0
10000,10,9947406.0
10000,20,17766157.0
10000,30,24542843.0
10000,40,30049307.0
10000,50,33960448.0
10000,60,37298784.0
10000,70,40712697.0
10000,80,43045537.0
10000,90,44520857.0
10000,100,47217797.0
20000,10,40503361.0
20000,20,71887554.0
20000,30,98798248.0
20000,40,122034619.0
20000,50,136628069.0
20000,60,148797891.0
20000,70,171576614.0
20000,80,171819641.0
20000,90,176886712.0
20000,100,187112457.0
30000,10,90936756.0
30000,20,161344334.0
30000,30,221192168.0
30000,40,274505475.0
30000,50,311067626.0
30000,60,325229991.0
30000,70,359545948.0
30000,80,391492599.0
30000,90,416614272.0
30000,100,459521360.0
40000,10,160769151.0
40000,20,287684502.0
40000,30,388626795.0
40000,40,471481027.0
40000,50,516347532.0
40000,60,565956617.0
40000,70,638595354.0
40000,80,657981668.0
40000,90,697059199.0
40000,100,733996050.0
