Name,Size,Nnz,Density,Speedup_Naive,Speedup_MKL
farm,119,41,34.45378151260504,1.3333333333333333,6.333333333333333
Trec5,21,12,57.14285714285714,1.4285714285714286,8.571428571428571
mycielskian2,4,2,50.0,1.0,8.05
kleemin,128,44,34.375,1.25,4.75
b1_ss,49,15,30.612244897959183,1.0,5.666666666666667
Maragal_1,448,234,52.23214285714286,1.4,2.5
n3c4-b1,90,30,33.33333333333333,1.0,4.5
Trec6,90,40,44.44444444444444,1.0,4.525
relat3,60,24,40.0,1.3333333333333333,6.0
LF10,324,82,25.308641975308642,1.1666666666666667,3.5
lp_fit1d,25176,13427,53.33253892596124,1.9393807239424334,2.0793720017444395
mycielskian5,529,142,26.84310018903592,1.1111111111111112,2.4444444444444446
Journals,15376,12068,78.48595213319459,3.2522189349112427,2.7921597633136095
Stranke94,100,90,90.0,1.75,5.025
divorce,450,225,50.0,1.175,2.25
bibd_9_5,4536,1260,27.77777777777778,1.148619957537155,1.1061571125265393
rel3,60,18,30.0,0.75,4.275
rgg010,100,76,76.0,1.5,4.75
ex5,729,279,38.2716049382716,1.3416666666666666,2.25
lp_fit2d,263100,129042,49.046750285062714,1.1259474081836571,1.142543806204762
Tina_DisCog,121,48,39.66942148760331,1.25,4.75
can_24,576,160,27.77777777777778,1.375,2.8875
cari,480000,152800,31.833333333333336,1.1511816625536362,1.1389315013673047
mycielskian3,25,10,40.0,0.6666666666666666,5.666666666666667
bcsstk02,4356,4356,100.0,3.4,3.027083333333333
Trec3,2,1,50.0,1.0,8.0
Trec8,1932,549,28.416149068322984,1.418848167539267,4.193717277486911
Tina_DisCal,121,41,33.88429752066116,0.8,4.2
ww_36_pmec_36,4356,1194,27.41046831955923,1.3926829268292682,1.3195121951219513
jgl009,81,50,61.72839506172839,1.6666666666666667,6.333333333333333
Cities,2530,1342,53.04347826086957,2.1758620689655173,1.9
Trec4,6,3,50.0,1.0,8.0
mycielskian4,121,40,33.057851239669425,1.0,11.775
Tina_AskCog,121,36,29.75206611570248,0.8,3.8
cage3,25,19,76.0,1.0,6.0
Trefethen_20,400,158,39.5,1.8333333333333333,8.85
jgl011,121,76,62.8099173553719,1.5,5.0
lap_25,625,169,27.04,1.2333333333333334,2.6666666666666665
cage4,81,49,60.49382716049383,1.0,4.525
Trec7,396,147,37.121212121212125,1.3,3.0142857142857142
Trefethen_20b,361,147,40.7202216066482,1.4285714285714286,3.3
n3c4-b4,90,30,33.33333333333333,1.0,4.75
